1974-T2;0,6;9,4;1,8;0,0;0,5
1974-T1;0,6;8,3;1,7;0,0;0,5
1973-T4;0,5;6,4;1,5;0,0;0,5
1973-T3;0,5;6,0;1,4;0,0;0,5
1973-T2;0,5;5,6;1,2;0,0;0,4
1973-T1;0,5;5,4;1,2;0,0;0,4
1972-T4;0,5;5,2;1,2;0,0;0,4
1972-T3;0,4;4,7;1,1;0,0;0,4
1972-T2;0,4;4,7;1,1;0,0;0,4
1972-T1;0,4;4,5;1,1;0,0;0,4
1971-T4;0,4;4,4;1,1;0,0;0,3
1971-T3;0,4;4,2;1,1;0,0;0,3
1971-T2;0,4;4,0;1,1;0,0;0,3
1971-T1;0,4;3,8;1,1;0,0;0,3
1970-T4;0,4;4,0;1,0;0,0;0,3
1970-T3;0,4;3,7;1,0;0,0;0,3
1970-T2;0,4;3,6;0,9;0,0;0,3
1970-T1;0,4;3,4;0,9;0,0;0,3
1969-T4;0,4;3,4;0,9;0,0;0,3
1969-T3;0,4;3,2;0,8;0,0;0,3
1969-T2;0,3;3,1;0,8;0,0;0,3
1969-T1;0,3;2,7;0,8;0,0;0,3
1968-T4;0,3;2,7;0,7;0,0;0,3
1968-T3;0,3;2,6;0,7;0,0;0,3
1968-T2;0,3;2,0;0,7;0,0;0,3
1968-T1;0,3;2,2;0,7;0,0;0,3
1967-T4;0,3;2,1;0,7;0,0;0,3
1967-T3;0,3;2,0;0,6;0,0;0,3
1967-T2;0,3;2,0;0,6;0,0;0,3
1967-T1;0,3;2,1;0,6;0,0;0,3
1966-T4;0,3;2,0;0,6;0,0;0,2
1966-T3;0,3;2,0;0,5;0,0;0,2
1966-T2;0,3;1,9;0,5;0,0;0,2
1966-T1;0,3;1,8;0,5;0,0;0,2
1965-T4;0,3;1,8;0,4;0,0;0,2
1965-T3;0,3;1,7;0,4;0,0;0,2
1965-T2;0,3;1,6;0,4;0,0;0,2
1965-T1;0,3;1,5;0,4;0,0;0,2
1964-T4;0,3;1,6;0,4;0,0;0,2
1964-T3;0,3;1,6;0,4;0,0;0,2
1964-T2;0,3;1,6;0,4;0,0;0,2
1964-T1;0,3;1,5;0,4;0,0;0,2
1963-T4;0,3;1,5;0,3;0,0;0,2
1963-T3;0,3;1,4;0,3;0,0;0,2
1963-T2;0,3;1,3;0,3;0,0;0,2
1963-T1;0,3;1,2;0,3;0,0;0,2
1962-T4;0,3;1,1;0,3;0,0;0,2
1962-T3;0,3;1,1;0,3;0,0;0,2
1962-T2;0,3;1,0;0,3;0,0;0,2
1962-T1;0,3;1,1;0,2;0,0;0,2
1961-T4;0,3;1,0;0,2;0,0;0,2
1961-T3;0,3;1,0;0,2;0,0;0,2
1961-T2;0,3;1,0;0,2;0,0;0,2
1961-T1;0,3;0,9;0,2;0,0;0,2
1960-T4;0,3;0,9;0,2;0,0;0,2
1960-T3;0,3;1,0;0,2;0,0;0,2
1960-T2;0,3;0,9;0,2;0,0;0,2
1960-T1;0,3;0,9;0,2;0,0;0,2
1959-T4;0,2;0,8;0,2;0,0;0,2
1959-T3;0,2;0,7;0,2;0,0;0,2
1959-T2;0,2;0,7;0,2;0,0;0,2
1959-T1;0,2;0,7;0,2;0,0;0,2
1958-T4;0,2;0,7;0,2;0,0;0,2
1958-T3;0,3;0,7;0,2;0,0;0,2
1958-T2;0,3;0,7;0,2;0,0;0,1
1958-T1;0,3;0,7;0,2;0,0;0,1
1957-T4;0,2;0,7;0,2;0,0;0,1
1957-T3;0,2;0,7;0,2;0,0;0,2
1957-T2;0,2;0,7;0,2;0,0;0,2
1957-T1;0,2;0,7;0,1;0,0;0,2
1956-T4;0,2;0,6;0,1;0,0;0,1
1956-T3;0,2;0,6;0,1;0,0;0,1
1956-T2;0,2;0,6;0,1;0,0;0,1
1956-T1;0,2;0,5;0,1;0,0;0,1
1955-T4;0,2;0,5;0,1;0,0;0,1
1955-T3;0,2;0,5;0,1;0,0;0,1
1955-T2;0,2;0,5;0,1;0,0;0,1
1955-T1;0,2;0,4;0,1;0,0;0,1
1954-T4;0,2;0,4;0,1;0,0;0,1
1954-T3;0,2;0,4;0,1;0,0;0,1
1954-T2;0,2;0,4;0,1;0,0;0,1
1954-T1;0,2;0,4;0,1;0,0;0,1
1953-T4;0,2;0,4;0,1;0,0;0,1
1953-T3;0,2;0,4;0,1;0,0;0,1
1953-T2;0,2;0,4;0,1;0,0;0,1
1953-T1;0,2;0,4;0,1;0,0;0,1
1952-T4;0,2;0,4;0,1;0,0;0,1
1952-T3;0,2;0,4;0,1;0,0;0,1
1952-T2;0,2;0,5;0,1;0,0;0,1
1952-T1;0,2;0,5;0,1;0,0;0,1
1951-T4;0,2;0,5;0,1;0,0;0,1
1951-T3;0,2;0,5;0,1;0,0;0,1
1951-T2;0,2;0,4;0,1;0,0;0,1
1951-T1;0,2;0,3;0,1;0,0;0,1
1950-T4;0,2;0,3;0,1;0,0;0,1
1950-T3;0,2;0,3;0,1;0,0;0,1
1950-T2;0,2;0,2;0,1;0,0;0,0
1950-T1;0,2;0,3;0,1;0,0;0,0
1949-T4;0,1;0,2;0,1;0,0;0,0
1949-T3;0,1;0,2;0,1;0,0;0,0
1949-T2;0,1;0,2;0,1;0,0;0,0
1949-T1;0,1;0,2;0,1;0,0;0,0
